,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,S7,S7,S7,S7,S7,0,0,0,0,0,0,0,0
K,S7,S7,S7,S7,S7,0,0,0,0,0,0,0,0
Q,S7,S7,S7,S7,S7,0,0,0,0,0,0,0,0
J,S7,S7,S7,S7,S7,0,0,0,0,0,0,0,0
T,S7,S7,S7,S7,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
A,S7,S7,S7,S7,0,0,0,0,0,0,0,0,0
K,S7,S7,S7,0,0,0,0,0,0,0,0,0,0
Q,S7,S7,S7,0,0,0,0,0,0,0,0,0,0
J,S7,0,0,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0
