,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,0,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7
K,w7,0,w7,w7,w7,w7,0,0,0,0,0,0,0
Q,w7,w7,0,w7,w7,w7,0,0,0,0,0,0,0
J,w7,w7,w7,0,w7,w7,0,0,0,0,0,0,0
T,w7,w7,w7,w7,0,w7,w7,0,0,0,0,0,0
9,w7,w7,w7,w7,w7,0,w7,w7,0,0,0,0,0
8,w7,0,0,0,w7,w7,0,w7,w7,0,0,0,0
7,w7,0,0,0,0,w7,w7,0,w7,0,0,0,0
6,w7,0,0,0,0,0,w7,w7,0,w7,0,0,0
5,w7,0,0,0,0,0,0,0,w7,0,0,0,0
4,w7,0,0,0,0,0,0,0,0,0,0,0,0
3,w7,0,0,0,0,0,0,0,0,0,0,0,0
2,w7,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
A,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7,w7
K,w7,w7,w7,w7,w7,w7,0,0,0,0,0,0,0
Q,w7,w7,w7,w7,w7,w7,0,0,0,0,0,0,0
J,w7,w7,w7,w7,w7,w7,0,0,0,0,0,0,0
T,w7,w7,w7,w7,w7,w7,0,0,0,0,0,0,0
9,w7,w7,w7,w7,w7,w7,0,0,0,0,0,0,0
8,w7,0,0,0,0,0,w7,0,0,0,0,0,0
7,w7,0,0,0,0,0,0,w7,0,0,0,0,0
6,w7,0,0,0,0,0,0,0,w7,0,0,0,0
5,w7,0,0,0,0,0,0,0,0,w7,0,0,0
4,w7,0,0,0,0,0,0,0,0,0,w7,0,0
3,w7,0,0,0,0,0,0,0,0,0,0,w7,0
2,w7,0,0,0,0,0,0,0,0,0,0,0,w7
